PDB_ID,peptide_chain_ID,peptide_length,number_of_atoms_in_peptide,protein_chain_ID,number_of_atoms_in_protein,number_of_atom_contacts_between_peptide_and_protein,unknown,noncanonical_peptide,resolution,molecular_type
1a1r,C,16,108,A,1117,90,0,0,2.5,prot
1a1u,A,29,257,C,257,121,0,0,-1,prot
1a2c,L,36,281,H,2039,167,0,0,2.1,prot
1a2x,B,31,256,A,1246,107,0,0,2.3,prot
1a38,P,5,47,A,1730,33,0,0,3.35,prot
1a3b,L,27,222,H,2017,132,1,0,1.8,prot
1a3e,L,27,222,H,2017,128,1,0,1.85,prot
1a46,L,26,214,H,2008,122,0,0,2.12,prot
1a4w,L,26,203,H,1966,115,1,0,1.8,prot
1a5g,L,27,222,H,2022,124,0,0,2.06,prot
1a61,L,27,222,H,2022,126,0,0,2.2,prot
1a7f,A,21,163,B,225,67,0,0,-1,prot
1a7f,B,29,225,A,163,78,0,0,-1,prot
1a93,A,34,269,B,264,86,0,1,-1,prot
1abi,L,33,265,H,2039,157,0,0,2.3,prot
1abi,I,20,153,H,2039,122,0,1,2.3,prot
1abj,L,27,222,H,2083,122,0,0,2.4,prot
1acy,P,10,79,H,1700,35,0,0,3,prot
1ad8,L,28,227,H,2025,128,0,0,2,prot
1ae8,L,36,287,H,2053,166,1,0,2,prot
1afe,L,36,287,H,2053,169,0,0,2,prot
1afo,A,40,314,B,314,51,0,0,-1,prot
1aht,L,28,231,H,2029,136,0,0,1.6,prot
1ai0,A,21,163,B,242,43,0,0,-1,prot
1ai0,B,30,242,D,242,77,0,0,-1,prot
1ai1,P,10,80,H,1700,37,0,1,2.8,prot
1ai8,L,27,222,H,2017,131,1,0,1.85,prot
1aik,N,37,293,C,301,101,0,1,2,prot
1aik,C,35,301,N,293,97,0,1,2,prot
1aix,L,27,222,H,2017,130,1,0,2.1,prot
1aiy,A,21,163,B,242,48,0,0,-1,prot
1aiy,B,30,242,A,163,56,0,0,-1,prot
1amt,A,21,139,C,139,27,0,1,1.5,prot
1an1,I,40,281,E,1642,67,0,0,2.03,prot
1aph,A,21,160,B,240,91,2,0,2,prot
1aph,B,30,240,A,160,112,2,1,2,prot
1apm,I,20,157,E,2689,107,0,0,2,prot
1aq5,A,47,375,C,375,99,0,0,-1,prot
1as4,B,33,270,A,2675,255,0,1,2.1,prot
1ati,C,37,184,A,3568,57,1,0,2.75,prot
1atp,I,20,157,E,2777,111,0,0,2.2,prot
1avf,P,21,168,A,2431,116,0,0,2.36,prot
1avg,L,41,338,H,2094,183,0,0,2.6,prot
1aw8,A,24,197,B,692,171,0,0,2.2,prot
1awf,L,27,222,H,2083,127,0,0,2.2,prot
1awh,A,36,287,B,2093,149,1,0,3,prot
1axc,B,18,153,A,1896,124,0,0,2.6,prot
1ay6,L,29,235,H,2030,138,1,0,1.8,prot
1b17,A,21,163,B,240,93,0,0,1.7,prot
1b17,B,30,240,A,163,105,0,1,1.7,prot
1b18,A,21,163,B,240,97,0,0,1.8,prot
1b18,B,30,240,A,163,105,0,1,1.8,prot
1b19,A,21,163,B,240,96,0,0,1.8,prot
1b19,B,30,240,A,163,107,0,1,1.8,prot
1b2a,A,21,163,B,240,99,0,0,1.7,prot
1b2a,B,30,240,A,163,107,0,1,1.7,prot
1b2b,A,21,163,B,240,96,0,0,1.8,prot
1b2b,B,30,240,A,163,107,0,1,1.8,prot
1b2c,A,21,163,B,240,96,0,0,1.8,prot
1b2c,B,30,240,A,163,106,0,1,1.8,prot
1b2d,A,21,163,B,240,98,0,0,1.7,prot
1b2d,B,30,240,A,163,104,0,1,1.7,prot
1b2e,A,21,163,B,240,96,0,0,1.9,prot
1b2e,B,30,240,A,163,106,0,1,1.9,prot
1b2f,A,21,163,B,240,97,0,0,1.9,prot
1b2f,B,30,240,A,163,106,0,0,1.9,prot
1b2g,A,21,163,B,240,99,0,0,1.8,prot
1b2g,B,30,240,A,163,107,0,0,1.8,prot
1b5g,L,29,239,H,2022,134,0,0,2.07,prot
1b7x,A,26,214,B,1872,120,0,0,2.1,prot
1b9e,A,21,163,B,245,70,0,0,2.5,prot
1b9e,B,30,245,D,245,87,0,0,2.5,prot
1ba8,A,30,240,B,2039,143,0,0,1.8,prot
1bb0,A,26,208,B,1970,124,0,0,2.1,prot
1bb1,A,36,262,B,267,68,0,1,1.8,prot
1bbr,L,36,290,H,1235,136,0,0,2.3,prot
1bcc,I,33,159,A,3423,76,0,0,3.16,prot
1bcu,L,26,214,H,2018,119,0,0,2,prot
1ben,A,21,157,B,242,93,0,0,1.4,prot
1ben,B,30,242,A,157,113,0,1,1.4,prot
1bh8,A,45,366,B,708,177,0,0,3,prot
1bh9,A,45,366,B,708,178,0,0,2.6,prot
1bhx,A,30,242,B,1200,127,0,0,2.3,prot
1bi6,H,41,324,L,79,85,0,0,-1,prot
1bkv,A,29,183,B,190,152,0,1,2,prot
1bmm,L,28,227,H,2083,132,0,0,2.6,prot
1bmn,L,26,214,H,2079,118,0,0,2.8,prot
1bom,A,20,149,B,219,50,0,0,-1,prot
1bom,B,28,219,A,149,43,0,1,-1,prot
1bon,A,20,149,B,219,50,0,0,-1,prot
1bon,B,28,219,A,149,44,0,1,-1,prot
1bph,A,21,160,B,236,95,1,0,2,prot
1bph,B,30,236,A,160,111,1,1,2,prot
1bqp,B,47,367,A,1417,353,0,1,2.1,prot
1bth,L,31,247,H,2053,138,0,0,2.3,prot
1bzv,A,21,162,B,204,78,0,0,-1,prot
1bzv,B,26,204,A,162,85,0,1,-1,prot
1c1u,L,36,287,H,2039,161,0,0,1.75,prot
1c1v,L,36,287,H,2039,149,1,0,1.98,prot
1c1w,L,36,287,H,2039,155,0,0,1.9,prot
1c4u,1,30,240,2,2039,148,2,0,2.1,prot
1c4v,1,36,287,2,2035,179,0,0,2.1,prot
1c4y,1,27,211,2,2049,127,0,0,2.7,prot
1c5l,L,36,287,H,2039,153,0,0,1.47,prot
